,source,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
orientation_w,ROS,float64,4419,91.69345288,0,48780,0.766448562,0.208206779,0.008850911,0.62392995,0.783804305,0.978178964,0.999999318
twist_linear_x,ROS,float64,4419,91.69345288,0,48780,0.262419614,0.314574742,-0.503909584,0.000956711,0.164087406,0.594411117,1.11930228
twist_linear_y,ROS,float64,4419,91.69345288,0,48780,0.00053166,0.000755352,-0.001380695,4.94E-05,0.000271997,0.000773639,0.016454159
twist_linear_z,ROS,float64,4419,91.69345288,0,48780,0.001740001,0.006446346,-0.043720526,-0.000198555,0.000210074,0.003462128,0.056073649
twist_angular_x,ROS,float64,4419,91.69345288,0,48780,0.000234152,0.000824244,-0.010961266,-5.21E-05,4.58E-05,0.000511248,0.017070171
twist_angular_y,ROS,float64,4419,91.69345288,0,48780,0.000417862,0.002631472,-0.021656878,-0.000155505,4.96E-05,0.000739017,0.035786862
twist_angular_z,ROS,float64,4419,91.69345288,0,48780,0.021333839,0.096692396,-0.421291065,-0.000756269,0.000488012,0.069311009,0.795764578
distance_to_bs,ROS/preprocessed,float64,4419,91.69345288,0,48780,15.24996524,5.429763413,7.65772989,10.43387325,14.37028955,17.85309607,33.09319009
obstacles_sum,ROS/preprocessed,float64,4419,91.69345288,7761,48780,12737.66037,16407.26986,0,4533,7267,15695,97561
line_of_sight,ROS/preprocessed,object,4419,91.69345288,39208,,,,,,,,
bag_file,ROS,object,4419,91.69345288,0,,,,,,,,
timestamp,,"datetime64[ns, Europe/Berlin]",0,100,0,53199,,,2021-12-14 13:30:49+01:00,,,,2021-12-16 15:07:53+01:00
